datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2017-08-15 07:00:00,-946413.95515,942711.11673,30.0,-179.8877,77.7141
2017-08-15 08:00:00,-946103.87617,942665.44251,60.0,-179.8957,77.7164
2017-08-15 09:00:00,-945750.71839,942616.29579,60.0,-179.9049,77.719
2017-08-15 10:00:00,-945375.76187,942558.27538,60.0,-179.91449,77.7218
2017-08-15 11:00:00,-945098.15091,942433.00919,60.0,-179.9191,77.7244
2017-08-15 12:00:00,-944944.48366,942338.98256,60.0,-179.9209,77.726
2017-08-15 13:00:00,-944964.87487,942349.42101,60.0,-179.9206,77.7258
2017-08-15 14:00:00,-944981.39993,942548.31679,60.0,-179.92614,77.72441
2017-08-15 15:00:00,-944953.09085,942966.02082,60.0,-179.9397,77.7219
2017-08-15 16:00:00,-944870.52621,943590.9782,60.0,-179.96118,77.7184
2017-08-15 17:00:00,-944670.73099,944377.32434,60.0,-179.9911,77.71462
2017-08-15 18:00:00,-944238.02905,945199.80559,60.0,179.97083,77.7121
2017-08-15 19:00:00,-943591.04827,946000.63562,60.0,179.92694,77.7111
2017-08-15 20:00:00,-942810.79694,946625.17763,60.0,179.88433,77.71209
2017-08-15 21:00:00,-942036.56255,947054.42861,60.0,179.84781,77.7143
2017-08-15 22:00:00,-941256.76433,947304.72576,60.0,179.81652,77.7177
2017-08-15 23:00:00,-940584.03101,947447.8413,60.0,179.79171,77.7211
2017-08-16 00:00:00,-940036.25359,947544.01285,60.0,179.77211,77.724
2017-08-16 01:00:00,-939614.87849,947714.90343,60.0,179.7541,77.7256
2017-08-16 02:00:00,-939226.30657,947961.26639,60.0,179.7348,77.7265
2017-08-16 03:00:00,-938902.57805,948220.20499,60.0,179.71711,77.7269
2017-08-16 04:00:00,-938555.00068,948702.75792,60.0,179.69192,77.726
2017-08-16 05:00:00,-938119.92337,949333.28478,60.0,179.65961,77.7247
2017-08-16 06:00:00,-937605.96295,950056.40799,60.0,179.6221,77.7233
2017-08-16 07:00:00,-937031.76939,950837.87621,60.0,179.581,77.7219
2017-08-16 08:00:00,-936332.69185,951372.84225,60.0,179.54351,77.7229
2017-08-16 09:00:00,-935707.75114,951819.31371,60.0,179.51095,77.72399
2017-08-16 10:00:00,-935271.95193,952108.54562,60.0,179.4889,77.7249
2017-08-16 11:00:00,-935038.33403,952322.59731,60.0,179.47531,77.725
2017-08-16 12:00:00,-934986.34985,952542.49686,60.0,179.4671,77.7239
2017-08-16 13:00:00,-935114.11888,952938.71061,60.0,179.4591,77.7205
2017-08-16 14:00:00,-935355.65938,953484.48311,60.0,179.4501,77.7154
2017-08-16 15:00:00,-935704.49459,954322.57358,60.0,179.43562,77.70771
2017-08-16 16:00:00,-936045.40551,955393.67949,60.0,179.41392,77.69854
2017-08-16 17:00:00,-936295.99528,956611.21392,60.0,179.38511,77.689
2017-08-16 18:00:00,-936396.4398,957901.72489,60.0,179.34957,77.67994
2017-08-16 19:00:00,-936376.1141,959198.57343,60.0,179.3102,77.6716
2017-08-16 20:00:00,-936216.79409,960348.23733,60.0,179.27102,77.6651
2017-08-16 21:00:00,-935934.10777,961294.4635,60.0,179.23417,77.66072
2017-08-16 22:00:00,-935626.04255,961994.10153,60.0,179.20391,77.6581
2017-08-16 23:00:00,-935397.49008,962535.84269,60.0,179.18079,77.65601
2017-08-17 00:00:00,-935307.38385,962930.13278,60.0,179.1663,77.654
2017-08-17 01:00:00,-935412.6813,963270.6747,60.0,179.1594,77.6511
2017-08-17 02:00:00,-935613.21774,963594.92752,60.0,179.1559,77.6477
2017-08-17 03:00:00,-935833.97583,963972.75371,60.0,179.15143,77.64382
2017-08-17 04:00:00,-936031.91296,964409.99319,60.0,179.1445,77.6397
2017-08-17 05:00:00,-936148.29094,964905.16826,60.0,179.13336,77.63572
2017-08-17 06:00:00,-936124.77066,965418.9927,60.0,179.1174,77.6325
2017-08-17 07:00:00,-935930.06871,965912.84996,60.0,179.0968,77.6305
2017-08-17 08:00:00,-935573.48185,966273.48889,60.0,179.0752,77.6304
2017-08-17 09:00:00,-935136.3616,966485.68011,60.0,179.05553,77.63178
2017-08-17 10:00:00,-934658.22041,966488.56281,60.0,179.0408,77.6348
2017-08-17 11:00:00,-934221.33284,966316.8896,60.0,179.0325,77.6387
2017-08-17 12:00:00,-933882.09271,966050.44441,60.0,179.03,77.6426
2017-08-17 13:00:00,-933636.56219,965708.7976,60.0,179.0326,77.6464
2017-08-17 14:00:00,-933488.20492,965380.09413,60.0,179.0378,77.6495
2017-08-17 15:00:00,-933335.61301,965100.83693,60.0,179.0414,77.6523
2017-08-17 16:00:00,-933142.69584,964891.17007,60.0,179.0417,77.6549
2017-08-17 17:00:00,-932895.81163,964766.16053,60.0,179.03783,77.65729
2017-08-17 18:00:00,-932599.64248,964700.06926,60.0,179.0307,77.6596
2017-08-17 19:00:00,-932246.17608,964662.96377,60.0,179.02095,77.66208
2017-08-17 20:00:00,-931796.35012,964534.69843,60.0,179.01094,77.66578
2017-08-17 21:00:00,-931326.25496,964285.20676,60.0,179.0039,77.6704
2017-08-17 22:00:00,-930811.14908,963899.94545,60.0,178.9995,77.6762
2017-08-17 23:00:00,-930346.70926,963419.04471,60.0,178.9995,77.6823
2017-08-18 00:00:00,-930001.42531,962869.98075,60.0,179.00519,77.6881
2017-08-18 01:00:00,-929764.38591,962322.11571,60.0,179.01419,77.6932
2017-08-18 02:00:00,-929682.34412,961807.177,60.0,179.02699,77.6971
2017-08-18 03:00:00,-929685.64164,961376.96658,60.0,179.0399,77.6999
2017-08-18 04:00:00,-929755.73242,961050.2445,60.0,179.05179,77.7016
2017-08-18 05:00:00,-929875.30538,960858.22161,60.0,179.06119,77.7021
2017-08-18 06:00:00,-929948.37216,960802.68798,60.0,179.0651,77.702
2017-08-18 07:00:00,-929960.43706,960852.03047,60.0,179.064,77.7016
2017-08-18 08:00:00,-929854.72527,960923.89736,60.0,179.0586,77.7018
2017-08-18 09:00:00,-929671.31783,960949.0822,60.0,179.05221,77.7028
2017-08-18 10:00:00,-929445.28781,960893.38868,60.0,179.0469,77.7046
2017-08-18 11:00:00,-929252.75661,960805.15563,60.0,179.0436,77.7064
2017-08-18 12:00:00,-929081.37316,960681.61781,60.0,179.042,77.7083
2017-08-18 13:00:00,-928969.86831,960546.60241,60.0,179.04259,77.70989
2017-08-18 14:00:00,-928951.99787,960410.32286,60.0,179.0461,77.7109
2017-08-18 15:00:00,-929031.39496,960287.79997,60.0,179.0522,77.7112
2017-08-18 16:00:00,-929201.68269,960199.09836,60.0,179.06009,77.7107
2017-08-18 17:00:00,-929475.42241,960193.34223,60.0,179.0687,77.709
2017-08-18 18:00:00,-929730.28219,960312.37151,60.0,179.073,77.7066
2017-08-18 19:00:00,-929924.1232,960505.78831,60.0,179.0732,77.7041
2017-08-18 20:00:00,-930002.65673,960704.25536,60.0,179.0697,77.7023
2017-08-18 21:00:00,-930035.4417,960885.37389,60.0,179.06532,77.70091
2017-08-18 22:00:00,-930089.87679,960985.79904,60.0,179.064,77.6999
2017-08-18 23:00:00,-930268.64837,961026.20224,60.0,179.0683,77.6985
2017-08-19 00:00:00,-930537.34025,961055.54813,60.0,179.07569,77.6966
2017-08-19 01:00:00,-930881.17847,961088.43178,60.0,179.08529,77.6942
2017-08-19 02:00:00,-931326.27049,961145.18714,60.0,179.09729,77.691
2017-08-19 03:00:00,-931880.02506,961172.78109,60.0,179.11349,77.6873
2017-08-19 04:00:00,-932496.18556,961307.73852,60.0,179.12839,77.6825
2017-08-19 05:00:00,-933103.81554,961588.09688,60.0,179.1387,77.6768
2017-08-19 06:00:00,-933636.09832,961971.92304,60.0,179.1436,77.6709
2017-08-19 07:00:00,-934016.941,962350.81176,60.0,179.144,77.666
2017-08-19 08:00:00,-934269.58221,962624.58085,60.0,179.1436,77.6626
