datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2021-12-12 20:00:00,2095907.95716,-2095907.95716,30.0,0.0,63.122
2021-12-12 21:00:00,2095613.66628,-2095394.22562,60.0,0.003,63.127
2021-12-12 22:00:00,2095363.57903,-2094997.901,60.0,0.005,63.131
2021-12-12 23:00:00,2094878.74523,-2094513.15182,60.0,0.005,63.137
2021-12-13 00:00:00,2094313.12059,-2093947.62589,60.0,0.005,63.144
2021-12-13 01:00:00,2093666.71191,-2093301.33002,60.0,0.005,63.152
2021-12-13 02:00:00,2093004.80878,-2092347.37519,60.0,0.009,63.162
2021-12-13 03:00:00,2092415.81725,-2091320.51761,60.0,0.015,63.172
2021-12-13 04:00:00,2091899.62981,-2090220.81897,60.0,0.023,63.182
2021-12-13 05:00:00,2091544.85608,-2089282.8104,60.0,0.031,63.19
2021-12-13 06:00:00,2090991.77105,-2088220.01242,60.0,0.038,63.2
2021-12-13 07:00:00,2090438.48998,-2087157.41315,60.0,0.045,63.21
2021-12-13 08:00:00,2089804.16909,-2086014.31541,60.0,0.052,63.221
2021-12-13 09:00:00,2089189.85741,-2084527.76813,60.0,0.064,63.234
2021-12-13 10:00:00,2088890.39704,-2083210.6753,60.0,0.078,63.244
2021-12-13 11:00:00,2089023.03159,-2082107.02971,60.0,0.095,63.25
2021-12-13 12:00:00,2089660.49845,-2081143.55782,60.0,0.117,63.252
2021-12-13 13:00:00,2090532.06248,-2080268.06032,60.0,0.141,63.252
2021-12-13 14:00:00,2091266.4791,-2079691.73374,60.0,0.159,63.251
2021-12-13 15:00:00,2091774.58122,-2079180.67886,60.0,0.173,63.251
2021-12-13 16:00:00,2092408.32398,-2078867.01353,60.0,0.186,63.249
2021-12-13 17:00:00,2092743.32295,-2078691.85108,60.0,0.193,63.248
2021-12-13 18:00:00,2092924.71506,-2078509.21686,60.0,0.198,63.248
2021-12-13 19:00:00,2092717.86808,-2078231.24762,60.0,0.199,63.251
2021-12-13 20:00:00,2092474.74751,-2077989.81003,60.0,0.199,63.254
2021-12-13 21:00:00,2092150.59128,-2077667.89774,60.0,0.199,63.258
2021-12-13 22:00:00,2091935.20696,-2077236.45998,60.0,0.202,63.262
2021-12-13 23:00:00,2091630.18783,-2076571.11314,60.0,0.207,63.268
2021-12-14 00:00:00,2091523.41767,-2076030.25171,60.0,0.213,63.272
2021-12-14 01:00:00,2091452.78616,-2075452.93814,60.0,0.22,63.276
2021-12-14 02:00:00,2091354.47344,-2075065.61477,60.0,0.224,63.279
2021-12-14 03:00:00,2091130.18454,-2074480.96464,60.0,0.229,63.284
2021-12-14 04:00:00,2091023.09271,-2073940.30067,60.0,0.235,63.288
2021-12-14 05:00:00,2090843.53918,-2073472.6725,60.0,0.239,63.292
2021-12-14 06:00:00,2090672.65815,-2073158.46727,60.0,0.241,63.295
2021-12-14 07:00:00,2090420.6736,-2072763.87723,60.0,0.243,63.299
2021-12-14 08:00:00,2090149.97635,-2072712.51673,60.0,0.24,63.301
2021-12-14 09:00:00,2089608.61908,-2072609.7316,60.0,0.234,63.305
2021-12-14 10:00:00,2089022.41934,-2072389.9811,60.0,0.229,63.31
2021-12-14 11:00:00,2088382.65982,-2071899.96067,60.0,0.227,63.317
2021-12-14 12:00:00,2087535.94214,-2071132.22292,60.0,0.226,63.327
2021-12-14 13:00:00,2087158.04024,-2070540.44586,60.0,0.229,63.333
2021-12-14 14:00:00,2087041.78858,-2069847.00962,60.0,0.237,63.338
2021-12-14 15:00:00,2087150.92238,-2069088.33385,60.0,0.249,63.342
2021-12-14 16:00:00,2087575.33286,-2068497.92518,60.0,0.263,63.343
2021-12-14 17:00:00,2088044.60641,-2068024.21612,60.0,0.276,63.343
