datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2015-01-01 01:00:00,-69316.21433,-186934.40795,30.0,-65.34503,88.15969
2015-01-01 02:00:00,-69594.8892,-187278.36937,60.0,-65.38567,88.15582
2015-01-01 03:00:00,-69892.99013,-187617.813,60.0,-65.4318,88.15193
2015-01-01 04:00:00,-70196.35876,-187946.68176,60.5,-65.4802,88.1481
2015-01-01 05:00:00,-70499.2457,-188284.63552,60.5,-65.52736,88.1442
2015-01-01 06:00:00,-70800.19193,-188590.60819,60.0,-65.57701,88.14058
2015-01-01 07:00:00,-71095.29457,-188900.86036,60.0,-65.62448,88.13695
2015-01-01 08:00:00,-71363.04867,-189154.69635,60.0,-65.67016,88.13388
2015-01-01 09:00:00,-71645.83771,-189469.07542,59.5,-65.71361,88.13025
2015-01-01 10:00:00,-71909.67672,-189759.88214,59.5,-65.75425,88.12687
2015-01-01 11:00:00,-72161.08371,-190017.09106,60.0,-65.79483,88.12383
2015-01-01 12:00:00,-72429.78035,-190331.46138,60.0,-65.8341,88.12024
2015-01-01 13:00:00,-72685.78485,-190622.44481,60.0,-65.87223,88.11689
2015-01-01 14:00:00,-72935.33031,-190913.6534,60.0,-65.90851,88.11356
2015-01-01 15:00:00,-73171.90018,-191205.97516,60.5,-65.94116,88.11026
2015-01-01 16:00:00,-73366.15544,-191458.53767,60.5,-65.96664,88.10744
2015-01-01 17:00:00,-73511.69942,-191695.18459,60.0,-65.98093,88.10492
2015-01-01 18:00:00,-73593.73978,-191923.90829,60.0,-65.97946,88.10268
2015-01-01 19:00:00,-73638.18087,-192138.37792,59.5,-65.96963,88.10068
2015-01-01 20:00:00,-73633.86944,-192335.27979,59.5,-65.9489,88.099
2015-01-01 21:00:00,-73609.8219,-192537.5602,60.0,-65.92256,88.09733
2015-01-01 22:00:00,-73584.99983,-192741.0056,60.0,-65.89594,88.09566
2015-01-01 23:00:00,-73519.16953,-192928.43762,60.0,-65.86032,88.09426
2015-01-02 00:00:00,-73444.50353,-193116.88622,60.5,-65.82237,88.09288
2015-01-02 01:00:00,-73355.49248,-193279.45276,60.5,-65.78329,88.09177
2015-01-02 02:00:00,-73273.09934,-193470.43291,60.0,-65.74319,88.09039
2015-01-02 03:00:00,-73171.96884,-193641.25606,60.0,-65.70027,88.08925
2015-01-02 04:00:00,-73058.4652,-193782.74722,60.0,-65.65706,88.0884
2015-01-02 05:00:00,-72931.28357,-193926.03372,60.0,-65.61017,88.08757
2015-01-02 06:00:00,-72797.54203,-194075.16311,59.5,-65.56105,88.08672
2015-01-02 07:00:00,-72654.48055,-194195.29254,59.5,-65.51238,88.08614
2015-01-02 08:00:00,-72513.68915,-194310.65682,60.0,-65.46479,88.0856
2015-01-02 09:00:00,-72377.32568,-194427.99612,60.0,-65.41817,88.08503
2015-01-02 10:00:00,-72224.49571,-194516.83081,60.0,-65.37006,88.08475
2015-01-02 11:00:00,-72094.71617,-194628.7972,60.5,-65.32572,88.0842
2015-01-02 12:00:00,-71960.70048,-194680.85727,60.5,-65.28604,88.08417
2015-01-02 13:00:00,-71864.94337,-194746.94327,60.0,-65.25492,88.08391
2015-01-02 14:00:00,-71793.33979,-194776.11541,60.0,-65.23359,88.08388
2015-01-02 15:00:00,-71749.40968,-194791.569,60.0,-65.22074,88.08389
2015-01-02 16:00:00,-71728.20127,-194799.56701,60.0,-65.21448,88.08389
2015-01-02 17:00:00,-71718.30365,-194803.19102,59.5,-65.21157,88.08389
