datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2023-01-01 00:00:00,-1062811.95604,847064.3013,5.0,-173.55495,77.50178
2023-01-01 00:30:00,-1062725.35382,847153.61336,10.0,-173.56017,77.50189
2023-01-01 01:00:00,-1062656.73105,847237.46133,10.5,-173.56474,77.5019
2023-01-01 01:30:00,-1062583.46333,847319.27704,10.0,-173.56936,77.50196
2023-01-01 02:00:00,-1062520.19048,847405.64786,10.0,-173.57387,77.50192
2023-01-01 02:30:00,-1062468.65113,847482.56686,10.0,-173.57776,77.50185
2023-01-01 03:00:00,-1062421.83283,847562.34318,10.0,-173.58162,77.50173
2023-01-01 03:30:00,-1062384.30266,847626.18461,10.5,-173.58471,77.50163
2023-01-01 04:00:00,-1062343.34031,847690.59034,9.5,-173.58791,77.50156
2023-01-01 04:30:00,-1062304.50517,847751.55389,10.0,-173.59094,77.50149
2023-01-01 05:00:00,-1062263.21387,847812.07566,10.0,-173.59402,77.50144
2023-01-01 05:30:00,-1062229.46893,847887.72723,10.0,-173.5974,77.50125
2023-01-01 06:00:00,-1062202.47751,847972.24283,10.5,-173.60089,77.50096
2023-01-01 06:30:00,-1062187.74763,848054.14954,10.0,-173.60398,77.5006
2023-01-01 07:00:00,-1062171.25045,848127.49515,10.0,-173.60683,77.5003
2023-01-01 07:30:00,-1062158.82971,848199.24264,10.0,-173.60952,77.49998
2023-01-01 08:00:00,-1062140.28275,848273.38854,10.0,-173.61245,77.49969
2023-01-01 08:30:00,-1062117.84908,848354.15062,10.5,-173.6157,77.49939
2023-01-01 09:00:00,-1062105.72938,848427.67988,10.0,-173.61844,77.49906
2023-01-01 09:30:00,-1062078.7544,848499.65069,10.5,-173.62152,77.49884
2023-01-01 10:00:00,-1062046.115,848575.61251,10.0,-173.62488,77.49864
2023-01-01 10:30:00,-1062011.93913,848648.22382,10.0,-173.62817,77.49847
2023-01-01 11:00:00,-1061982.6139,848716.51363,10.0,-173.63119,77.49829
2023-01-01 11:30:00,-1061955.09501,848780.78235,10.0,-173.63403,77.49812
2023-01-01 12:00:00,-1061936.98295,848834.08047,10.5,-173.63626,77.49795
2023-01-01 12:30:00,-1061913.36457,848885.63793,10.0,-173.63858,77.49782
2023-01-01 13:00:00,-1061886.24919,848935.34989,10.0,-173.64093,77.49773
2023-01-01 13:30:00,-1061861.8319,848979.92888,10.0,-173.64304,77.49765
2023-01-01 14:00:00,-1061837.70912,849024.13658,10.0,-173.64513,77.49757
2023-01-01 14:30:00,-1061810.91711,849071.67943,10.0,-173.6474,77.49749
2023-01-01 15:00:00,-1061779.79175,849126.3919,10.0,-173.65002,77.4974
2023-01-01 15:30:00,-1061748.01771,849192.43684,10.5,-173.65303,77.49725
2023-01-01 16:00:00,-1061718.28401,849253.66777,10.0,-173.65583,77.49711
2023-01-01 16:30:00,-1061688.4056,849330.11312,10.0,-173.65913,77.49689
2023-01-01 17:00:00,-1061664.89154,849410.37134,10.0,-173.66239,77.4966
2023-01-01 17:30:00,-1061640.93918,849498.18561,10.0,-173.66591,77.49627
2023-01-01 18:00:00,-1061618.1096,849595.11087,10.0,-173.6697,77.49588
2023-01-01 18:30:00,-1061612.34739,849702.96719,10.5,-173.6734,77.49531
2023-01-01 19:00:00,-1061582.18763,849808.33014,10.0,-173.67766,77.49492
2023-01-01 19:30:00,-1061575.51511,849921.86335,10.0,-173.68157,77.49432
2023-01-01 20:00:00,-1061571.77354,850040.49165,9.5,-173.68557,77.49367
2023-01-01 20:30:00,-1061570.99666,850162.41929,10.0,-173.6896,77.49298
2023-01-01 21:00:00,-1061565.16225,850290.65057,10.0,-173.69397,77.49229
2023-01-01 21:30:00,-1061567.195,850423.06975,10.0,-173.69827,77.49152
2023-01-01 22:00:00,-1061556.19594,850560.97535,10.5,-173.70309,77.49081
2023-01-01 22:30:00,-1061542.66002,850704.28675,10.0,-173.70816,77.49009
2023-01-01 23:00:00,-1061525.6678,850844.6337,10.0,-173.71322,77.48941
2023-01-01 23:30:00,-1061502.23265,850987.7451,10.0,-173.71854,77.48876
2023-01-02 00:00:00,-1061467.11173,851127.89525,10.0,-173.72407,77.48821
2023-01-02 00:30:00,-1061425.95335,851265.04473,10.0,-173.72966,77.48772
2023-01-02 01:00:00,-1061377.21079,851394.19688,10.5,-173.73519,77.48733
2023-01-02 01:30:00,-1061321.8483,851526.16544,10.0,-173.74098,77.48697
2023-01-02 02:00:00,-1061259.31278,851651.374,10.0,-173.74674,77.4867
2023-01-02 02:30:00,-1061191.89544,851773.88992,10.0,-173.75254,77.48648
2023-01-02 03:00:00,-1061119.37494,851890.48776,10.0,-173.75828,77.48633
2023-01-02 03:30:00,-1061042.53188,852005.44643,10.0,-173.76408,77.48622
2023-01-02 04:00:00,-1060953.67443,852119.59276,9.5,-173.77017,77.4862
2023-01-02 04:30:00,-1060859.56454,852235.00383,10.0,-173.77644,77.48621
2023-01-02 05:00:00,-1060755.85411,852351.84047,10.0,-173.78301,77.48628
2023-01-02 05:30:00,-1060654.38991,852478.09775,10.0,-173.78983,77.48628
2023-01-02 06:00:00,-1060543.04113,852608.24196,10.5,-173.79704,77.48633
2023-01-02 06:30:00,-1060427.95502,852744.01464,10.0,-173.80453,77.48637
2023-01-02 07:00:00,-1060312.82807,852883.66415,10.0,-173.81215,77.48639
2023-01-02 07:30:00,-1060182.52481,853021.16144,10.0,-173.8201,77.48653
2023-01-02 08:00:00,-1060052.82897,853163.10527,10.0,-173.82818,77.48664
2023-01-02 08:30:00,-1059923.33197,853308.25372,10.0,-173.83636,77.48673
2023-01-02 09:00:00,-1059814.01059,853451.10451,10.5,-173.84393,77.48669
2023-01-02 09:30:00,-1059686.70873,853605.58166,10.0,-173.85236,77.48671
2023-01-02 10:00:00,-1059549.87633,853764.94234,10.0,-173.8612,77.48677
2023-01-02 10:30:00,-1059409.55099,853930.33093,10.0,-173.87033,77.48682
2023-01-02 11:00:00,-1059284.66998,854090.47588,10.0,-173.87888,77.48679
2023-01-02 11:30:00,-1059164.7507,854247.9115,10.0,-173.88721,77.48674
2023-01-02 12:00:00,-1059022.32374,854409.65547,10.5,-173.89628,77.48682
2023-01-02 12:30:00,-1058865.54648,854559.43527,10.0,-173.90533,77.48708
2023-01-02 13:00:00,-1058682.66001,854700.5231,10.0,-173.91479,77.48757
2023-01-02 13:30:00,-1058478.22973,854845.55565,10.0,-173.92495,77.48819
2023-01-02 14:00:00,-1058309.54704,854972.42697,10.0,-173.93357,77.48866
2023-01-02 14:30:00,-1058118.97802,855117.6153,10.0,-173.94337,77.48918
2023-01-02 15:00:00,-1057928.09179,855263.13277,9.5,-173.95319,77.4897
2023-01-02 15:30:00,-1057722.56347,855414.49397,10.0,-173.96359,77.49029
