datetime,x_stere,y_stere,data_gap_minutes,longitude,latitude
2020-01-01 00:00:00,1043221.06048,-2387157.22948,31.5,-21.394,66.282
2020-01-01 01:00:00,1043610.05559,-2387448.76964,31.5,-21.38873,66.27825
2020-01-01 02:00:00,1044416.30064,-2387620.55815,58.5,-21.374,66.274
2020-01-01 03:00:00,1044794.93392,-2387578.15555,60.0,-21.366,66.273
2020-01-01 04:00:00,1045555.85306,-2387614.85976,60.0,-21.351,66.27
2020-01-01 05:00:00,1046282.48326,-2387912.9744,60.0,-21.339,66.265
2020-01-01 06:00:00,1046880.58565,-2388144.02039,60.0,-21.329,66.261
2020-01-01 07:00:00,1047308.39593,-2388326.35901,60.0,-21.322,66.258
2020-01-01 08:00:00,1047614.87255,-2388685.19048,60.0,-21.319,66.254
2020-01-01 09:00:00,1047837.99818,-2389080.58015,60.0,-21.318,66.25
2020-01-01 10:00:00,1048106.50219,-2389579.38878,60.0,-21.317,66.245
2020-01-01 11:00:00,1048367.72111,-2389834.76237,60.5,-21.314,66.242
2020-01-01 12:00:00,1048623.72179,-2390084.11674,60.5,-21.31105,66.23907
2020-01-01 13:00:00,1049022.73423,-2390533.98226,59.5,-21.307,66.234
2020-01-01 14:00:00,1049500.02869,-2390941.17888,60.5,-21.301,66.229
2020-01-01 15:00:00,1049880.8483,-2391140.6227,60.5,-21.29511,66.22603
2020-01-01 16:00:00,1050224.15703,-2391116.60922,59.5,-21.288,66.225
2020-01-01 17:00:00,1050607.13943,-2391195.08132,60.0,-21.281,66.223
2020-01-01 18:00:00,1051077.33787,-2391358.54786,60.0,-21.273,66.22
2020-01-01 19:00:00,1051460.40557,-2391436.89559,60.0,-21.266,66.218
2020-01-01 20:00:00,1051885.2484,-2391496.82839,61.5,-21.258,66.216
2020-01-01 21:00:00,1052378.57134,-2391634.76103,61.5,-21.24932,66.21312
2020-01-01 22:00:00,1052613.57406,-2391793.34757,58.5,-21.246,66.211
2020-01-01 23:00:00,1052750.06089,-2392103.47874,60.0,-21.246,66.208
2020-01-02 00:00:00,1052757.54489,-2392346.98431,60.0,-21.248,66.206
2020-01-02 01:00:00,1052806.77224,-2392572.1202,60.0,-21.249,66.204
2020-01-02 02:00:00,1052905.20626,-2393022.40373,60.0,-21.251,66.2
2020-01-02 03:00:00,1052912.64271,-2393265.92852,60.0,-21.253,66.198
2020-01-02 04:00:00,1052749.26274,-2393461.19434,60.0,-21.258,66.197
2020-01-02 05:00:00,1052881.99223,-2393649.60151,60.0,-21.257,66.195
2020-01-02 06:00:00,1052809.51084,-2394051.66054,60.0,-21.262,66.192
2020-01-02 07:00:00,1052607.92857,-2394387.0718,60.0,-21.269,66.19
2020-01-02 08:00:00,1052406.2807,-2394722.471,60.0,-21.276,66.188
2020-01-02 09:00:00,1052159.13468,-2394954.44329,60.0,-21.283,66.187
2020-01-02 10:00:00,1051950.13147,-2395046.25237,60.0,-21.288,66.187
2020-01-02 11:00:00,1051612.1028,-2395071.33046,60.0,-21.295,66.188
2020-01-02 12:00:00,1051361.28575,-2395181.44189,60.0,-21.301,66.188
2020-01-02 13:00:00,1050974.29096,-2394981.22876,60.0,-21.307,66.191
2020-01-02 14:00:00,1050765.28542,-2395072.93444,90.0,-21.312,66.191
2020-01-02 15:00:00,1050544.9238,-2394817.91701,90.0,-21.31418,66.19385
2020-01-02 16:00:00,1050235.10237,-2394318.78285,90.0,-21.316,66.199
2020-01-02 17:00:00,1049841.12813,-2393874.90394,60.0,-21.32,66.204
2020-01-02 18:00:00,1049401.87016,-2393327.55197,60.0,-21.324,66.21
2020-01-02 19:00:00,1048997.28012,-2392518.36281,60.0,-21.325,66.218
2020-01-02 20:00:00,1048634.47196,-2391690.88194,60.0,-21.325,66.226
2020-01-02 21:00:00,1048355.13031,-2390826.83146,60.5,-21.323,66.234
2020-01-02 22:00:00,1048046.71042,-2390233.33054,60.5,-21.32397,66.23991
2020-01-02 23:00:00,1047644.08231,-2389658.85338,59.5,-21.327,66.246
2020-01-03 00:00:00,1047031.17539,-2388941.09977,60.0,-21.333,66.254
2020-01-03 01:00:00,1046672.17679,-2388235.36886,60.0,-21.334,66.261
2020-01-03 02:00:00,1046188.1988,-2387584.42561,60.0,-21.338,66.268
2020-01-03 03:00:00,1045787.6437,-2386896.94092,60.0,-21.34,66.275
2020-01-03 04:00:00,1045258.54364,-2386142.5105,90.0,-21.344,66.283
2020-01-03 05:00:00,1044834.51474,-2385434.21356,90.0,-21.34629,66.29025
2020-01-03 06:00:00,1044457.77646,-2384767.47934,90.0,-21.348,66.297
2020-01-03 07:00:00,1043932.64696,-2384134.61648,60.0,-21.353,66.304
2020-01-03 08:00:00,1043116.43625,-2383629.15651,60.0,-21.365,66.311
2020-01-03 09:00:00,1042217.30355,-2383159.85884,60.0,-21.379,66.318
2020-01-03 10:00:00,1041231.67446,-2382605.00425,60.0,-21.394,66.326
2020-01-03 11:00:00,1040166.86839,-2382207.74733,60.0,-21.412,66.333
2020-01-03 12:00:00,1038974.14215,-2381742.86822,60.0,-21.432,66.341
2020-01-03 13:00:00,1037955.2094,-2381448.21875,60.0,-21.45,66.347
2020-01-03 14:00:00,1037234.52306,-2381269.67153,60.0,-21.463,66.351
2020-01-03 15:00:00,1036506.96773,-2380847.73566,60.0,-21.474,66.357
